"R1.Apple-Rt.Chinesecheckers6_S.3357493185.3357495261","Apple-Rt;Entropy;The;Aidriven.Learner;Ggp_Remote_Agent;Legal","Chinesecheckers6_S.3357493185","0;0;0;0;0;0"
"R1.Cluneplayer.Chinesecheckers4_S.3357493268.3357495261","Cluneplayer;Luckylemming;Ogre;Apple-Rt","Chinesecheckers4_S.3357493268","100;75;50;0"
"R1.Fluxplayer.Chinesecheckers4_S.3357493268.3357495261","Fluxplayer;Pires5600;Nnrg.Hazel;Entropy","Chinesecheckers4_S.3357493268","100;25;25;0"
"R1.The.Chinesecheckers4_S.3357493268.3357495261","The;Aidriven.Learner;Ggp_Remote_Agent;Legal","Chinesecheckers4_S.3357493268","0;0;0;0"
"R1.Cluneplayer.Chinesecheckers4_S.3357493306.3357495261","Cluneplayer;The;Pires5600;Aidriven.Learner","Chinesecheckers4_S.3357493306","100;0;50;0"
"R1.Fluxplayer.Chinesecheckers4_S.3357493306.3357495261","Fluxplayer;Ggp_Remote_Agent;Ogre;Legal","Chinesecheckers4_S.3357493306","100;0;75;0"
"R1.Luckylemming.Chinesecheckers4_S.3357493306.3357495261","Luckylemming;Nnrg.Hazel;Entropy;Apple-Rt","Chinesecheckers4_S.3357493306","50;75;0;0"
"R1.Cluneplayer.Farmers_S.3357493442.3357495261","Cluneplayer;Fluxplayer;Aidriven.Learner","Farmers_S.3357493442","100;0;0"
"R1.Luckylemming.Farmers_S.3357493442.3357495261","Luckylemming;Pires5600;The","Farmers_S.3357493442","0;100;0"
"R1.Ogre.Farmers_S.3357493442.3357495261","Ogre;Nnrg.Hazel;Apple-Rt","Farmers_S.3357493442","100;0;0"
"R1.Ggp_Remote_Agent.Farmers_S.3357493442.3357495261","Ggp_Remote_Agent;Entropy;Legal","Farmers_S.3357493442","0;0;0"
"R1.Cluneplayer.Crisscross_S.3357493490.3357495261","Cluneplayer;Nnrg.Hazel","Crisscross_S.3357493490","25;100"
"R1.Fluxplayer.Crisscross_S.3357493490.3357495262","Fluxplayer;Luckylemming","Crisscross_S.3357493490","25;100"
"R1.Pires5600.Crisscross_S.3357493490.3357495262","Pires5600;Ogre","Crisscross_S.3357493490","100;25"
"R1.Apple-Rt.Crisscross_S.3357493490.3357495262","Apple-Rt;Entropy","Crisscross_S.3357493490","0;0"
"R1.The.Crisscross_S.3357493490.3357495262","The;Aidriven.Learner","Crisscross_S.3357493490","0;0"
"R1.Ggp_Remote_Agent.Crisscross_S.3357493490.3357495262","Ggp_Remote_Agent;Legal","Crisscross_S.3357493490","0;0"
"R2.Cluneplayer.Fairfield_S.3359145873.3359146584","Cluneplayer;Ogre","Fairfield_S.3359145873","100;50"
"R2.Fluxplayer.Fairfield_S.3359145873.3359146584","Fluxplayer;Luckylemming","Fairfield_S.3359145873","0;0"
"R2.Pires5600.Fairfield_S.3359145873.3359146584","Pires5600;Nnrg.Hazel","Fairfield_S.3359145873","100;10"
"R2.Apple-Rt.Fairfield_S.3359145873.3359146584","Apple-Rt;Ggp_Remote_Agent","Fairfield_S.3359145873","0;0"
"R2.Entropy.Fairfield_S.3359145873.3359146584","The;Legal","Fairfield_S.3359145873","10;100"
"R2.Cluneplayer.Patapsco_S.3359145867.3359146584","Cluneplayer;Apple-Rt","Patapsco_S.3359145867","100;10"
"R2.Pires5600.Patapsco_S.3359145867.3359146584","Pires5600;The","Patapsco_S.3359145867","0;0"
"R2.Fluxplayer.Patapsco_S.3359145867.3359146584","Fluxplayer;Ggp_Remote_Agent","Patapsco_S.3359145867","50;0"
"R2.Nnrg.Hazel.Patapsco_S.3359145867.3359146584","Nnrg.Hazel;Entropy","Patapsco_S.3359145867","0;0"
"R2.Ogre.Patapsco_S.3359145867.3359146584","Ogre;Luckylemming","Patapsco_S.3359145867","10;100"
"R2.Cluneplayer.Stringer_S.3359145972.3359146584","Cluneplayer;Fluxplayer","Stringer_S.3359145972","50;100"
"R2.Luckylemming.Stringer_S.3359145972.3359146584","Luckylemming;Pires5600","Stringer_S.3359145972","50;100"
"R2.Ogre.Stringer_S.3359145972.3359146584","Ogre;Nnrg.Hazel","Stringer_S.3359145972","100;25"
"R2.Apple-Rt.Stringer_S.3359145972.3359146584","Apple-Rt;Legal","Stringer_S.3359145972","0;50"
"R2.The.Stringer_S.3359145972.3359146584","The;Ggp_Remote_Agent","Stringer_S.3359145972","25;0"
"R2.Cluneplayer.Avon_S.3359145990.3359146584","Cluneplayer;Luckylemming","Avon_S.3359145990","100;50"
"R2.Fluxplayer.Avon_S.3359145990.3359146584","Fluxplayer;Nnrg.Hazel","Avon_S.3359145990","50;50"
"R2.Pires5600.Avon_S.3359145990.3359146584","Pires5600;Ogre","Avon_S.3359145990","100;50"
"R2.Entropy.Avon_S.3359145990.3359146584","Entropy;Ggp_Remote_Agent","Avon_S.3359145990","0;0"
"R2.Apple-Rt.Avon_S.3359145990.3359146584","Apple-Rt;The","Avon_S.3359145990","100;0"
"R2.Cluneplayer.Mcnulty_S.3359146044.3359146584","Cluneplayer;Pires5600","Mcnulty_S.3359146044","50;50"
"R2.Fluxplayer.Mcnulty_S.3359146044.3359146584","Fluxplayer;Ogre","Mcnulty_S.3359146044","50;50"
"R2.Nnrg.Hazel.Mcnulty_S.3359146044.3359146584","Nnrg.Hazel;Luckylemming","Mcnulty_S.3359146044","50;50"
"R2.Entropy.Mcnulty_S.3359146044.3359146584","Entropy;The","Mcnulty_S.3359146044","0;50"
"R2.Apple-Rt.Mcnulty_S.3359146044.3359146584","Apple-Rt;Ggp_Remote_Agent","Mcnulty_S.3359146044","50;0"
"R2.Cluneplayer.Bunk_S.3359146085.3359146584","Cluneplayer;Entropy","Bunk_S.3359146085","100;0"
"R2.Pires5600.Bunk_S.3359146085.3359146585","Pires5600;Apple-Rt","Bunk_S.3359146085","100;0"
"R2.Fluxplayer.Bunk_S.3359146085.3359146585","Fluxplayer;The","Bunk_S.3359146085","100;0"
"R2.Nnrg.Hazel.Bunk_S.3359146085.3359146585","Nnrg.Hazel;Ggp_Remote_Agent","Bunk_S.3359146085","100;0"
"R2.Ogre.Bunk_S.3359146085.3359146585","Ogre;Luckylemming","Bunk_S.3359146085","50;50"
"R2.Cluneplayer.Niko_S.3359145578.3359146585","Cluneplayer","Niko_S.3359145578","80"
"R2.Fluxplayer.Niko_S.3359145578.3359146585","Fluxplayer","Niko_S.3359145578","70"
"R2.Luckylemming.Niko_S.3359145578.3359146585","Luckylemming","Niko_S.3359145578","80"
"R2.Pires5600.Niko_S.3359145578.3359146585","Pires5600","Niko_S.3359145578","15"
"R2.Ogre.Niko_S.3359145578.3359146585","Ogre","Niko_S.3359145578","15"
